ARS,AVL,BHA,BUR,CHE,CRY,EVE,FUL,LEE,LEI,LIV,MCI,MUN,NEW,SHU,SOU,TOT,WBA,WHU,WOL,GW
564.5079967419379,576.9342841642373,961.9100869414586,396.2963478842837,824.1250620958748,653.5227521573817,856.3109048751945,570.8332279928959,966.8729572170341,923.1856740276794,1769.6134856295694,676.3176680324392,647.8882475867337,687.0020526157311,596.1466850080723,773.8571720144129,1368.4416915464028,343.96794059673266,1027.0641027602446,410.1271747982763,7
604.9009678828975,907.8376978108837,641.2772607031576,485.2787796529801,732.1557893179181,525.4644276506492,858.2924442219073,716.600991128593,1240.145063449747,971.1137659460704,1695.6631362337757,984.5150618609955,670.6053219687575,744.4557745616315,583.3638556054613,768.5752085989378,1251.282191439244,290.13188229759623,1086.4799807125892,385.09534252140577,8
622.5966577065079,1103.1495982248832,722.8112189296112,420.9093855049151,1015.8397144221951,439.7157422788779,629.0087000137576,788.9053811482244,1141.4954953244649,1064.5111246576962,1418.6427524324079,813.8205293598206,702.4080028532927,696.1545440264584,497.0220988803898,611.1089142411917,1229.688116618022,329.74667351809524,804.2401328896005,418.8884704192913,9
615.6701451089681,1224.2388916650018,543.9155277599956,469.69964636849994,823.4503938664571,584.8306697057318,650.6461305579808,798.1299881890793,1413.6286685989428,1004.9832133635332,1253.2944354969966,874.588347378282,805.5867139060501,564.1611663137901,539.7970845526049,760.7198043957178,1097.7527731990087,296.96203435257854,693.3148260666293,553.997798505627,10
903.8720869726756,1103.0147919439837,733.0143491367629,550.4611852006237,640.8946348991523,692.8990471182384,637.5409429509183,790.4599394353986,1165.0692316900395,958.3269719198399,1039.7161687833839,755.6534953762687,862.5022306807793,586.1872479295807,736.483845966888,757.8239933270373,777.6131798339793,426.9723494023217,519.2244749307323,659.2378432444068,11
701.4386642949721,951.0145692408839,812.4949649195717,602.1394229979217,884.0263938838975,647.9206464802733,722.1016142498733,755.7038183267781,1276.0980216699325,861.9795073928673,1041.3798053145108,895.7954753801928,824.6330503333454,456.7428154775443,681.535314712863,567.8003310648951,603.6519474032888,411.1426837141221,637.2537625631618,731.6605671769016,12
889.2539891942886,873.145215087392,965.5774381461624,538.0414246285972,1032.0120913344451,735.900831212727,1077.7539483835574,747.2224645789344,886.8531929239819,1059.0491965077927,960.4037571094827,1172.5567245873872,665.7129542246231,415.4205006685861,435.3816708665944,726.7537980036572,537.0850586667615,524.7956601619039,805.4142160306099,727.5692187994239,13
724.3265228951507,867.4641183341561,928.4070615013927,556.0213781618052,919.4022946596036,657.5803890067441,893.7367416298026,913.6220451534646,1284.6408180600836,836.2619473652344,986.1092415862951,970.3504773375099,927.3075443822016,386.3826530891862,550.6990787620092,671.6404136092124,497.28779971933784,487.15251272189016,680.9558075388634,753.2961615710198,14
606.6293872004599,782.5046884841643,1240.5244918799392,745.5009255524488,876.7528365620803,589.7640889631894,913.9037788314866,901.1931250185598,1418.1940176081196,820.2859665790297,924.9837983796351,858.8843969073401,998.9523630262623,441.41781398561886,498.25183088722537,722.0540796967935,501.25477029183907,386.19433846879645,659.7084794330325,1031.7939034995911,15
946.5777475636968,932.3829696002488,966.9872003156536,682.9239272556321,967.9751595387942,738.1612917978433,712.8838341015817,778.0217101055924,1303.2276242237863,773.5689806543472,685.4461785096133,1171.0246069336335,1129.1820574306844,403.3407035608259,625.244816355333,626.8681943764963,343.22644702181805,372.86582829314875,625.7001517881663,815.8241013906955,16
